korean,picture_path_1
ㅏ,ㅏ.png
ㅔ,ㅔ.png
ㅓ,ㅓ.png
ㅑ,y.png
ㅕ,y.png
ㅛ,w.png
ㅠ,w.png
ㅖ,y.png
ㅒ,y.png
ㅐ,y.png
ㅢ,y.png
ㅗ,ㅗ.png
ㅜ,ㅜ.png
ㅘ,w.png
ㅝ,w.png
ㅙ,w.png
ㅞ,w.png
ㅚ,w.png
ㅟ,w.png
ㅡ,ㅡ.png
ㅣ,ㅣ.png
ㅁ,ㅁㅂㅃㅍ.png
ㅂ,ㅁㅂㅃㅍ.png
ㅃ,ㅁㅂㅃㅍ.png
ㅍ,ㅁㅂㅃㅍ.png
