korean,picture_path_1
ㄱ,ㄱㄲㅋㅇ.png
ㄲ,ㄱㄲㅋㅇ.png
ㅇ,ㄱㄲㅋㅇ.png
ㅋ,ㄱㄲㅋㅇ.png
ㄴ,ㄴㄷㄸㅌ.png
ㄷ,ㄴㄷㄸㅌ.png
ㄸ,ㄴㄷㄸㅌ.png
ㅌ,ㄴㄷㄸㅌ.png
ㄹ,ㄹ.png
ㅁ,ㅁㅂㅃㅍ.png
ㅂ,ㅁㅂㅃㅍ.png
ㅃ,ㅁㅂㅃㅍ.png
ㅍ,ㅁㅂㅃㅍ.png
ㅅ,ㅅㅆ.png
ㅆ,ㅅㅆ.png
변이음ㅅ,변이음ㅅㅆ.png
변이음ㅆ,변이음ㅅㅆ.png
ㅈ,ㅈㅉㅊ.png
ㅉ,ㅈㅉㅊ.png
ㅊ,ㅈㅉㅊ.png
ㅏ,ㅏ.png
ㅓ,ㅓㅗ.png
ㅗ,ㅓㅗ.png
ㅐ,ㅔㅐ.png
ㅔ,ㅔㅐ.png
ㅜ,w.png
ㅡ,w.png
ㅟ,w.png
ㅘ,w.png
ㅙ,w.png
ㅚ,w.png
ㅞ,w.png
ㅝ,w.png
ㅠ,y.png
ㅢ,y.png
ㅣ,y.png
ㅑ,y.png
ㅒ,y.png
ㅖ,y.png
ㅕ,y.png
ㅛ,y.png
